1.00000000  0.00000000
0.98447749  0.00383872
0.96895299  0.00808009
0.95343033  0.01264851
0.93791333  0.01747438
0.92240585  0.02249383
0.90691173  0.02764867
0.89143481  0.03288611
0.87597893  0.03815858
0.86054793  0.04342348
0.84514565  0.04864299
0.82977595  0.05378379
0.81444264  0.05881676
0.79914955  0.06371684
0.78390052  0.06846264
0.76869935  0.07303623
0.75354984  0.07742289
0.73845582  0.08161080
0.72342106  0.08559083
0.70844934  0.08935623
0.69354444  0.09290247
0.67871009  0.09622690
0.66395006  0.09932858
0.64926805  0.10220807
0.63466778  0.10486719
0.62015295  0.10730885
0.60572723  0.10953686
0.59139427  0.11155575
0.57715772  0.11337062
0.56302118  0.11498704
0.54898826  0.11641086
0.53506253  0.11764815
0.52124753  0.11870504
0.50754678  0.11958770
0.49396379  0.12030225
0.48050203  0.12085464
0.46716493  0.12125069
0.45395590  0.12149597
0.44087835  0.12159587
0.42793562  0.12155544
0.41513104  0.12137956
0.40246787  0.12107276
0.38994942  0.12063938
0.37757886  0.12008347
0.36535941  0.11940884
0.35329420  0.11861915
0.34138636  0.11771782
0.32963897  0.11670816
0.31805504  0.11559334
0.30663759  0.11437645
0.29538957  0.11306050
0.28431390  0.11164850
0.27341344  0.11014346
0.26269104  0.10854842
0.25214946  0.10686647
0.24179145  0.10510078
0.23161972  0.10325466
0.22163688  0.10133149
0.21184558  0.09933481
0.20224833  0.09726831
0.19284766  0.09513582
0.18364601  0.09294131
0.17464579  0.09068891
0.16584935  0.08838288
0.15725898  0.08602762
0.14887696  0.08362763
0.14070544  0.08118751
0.13274660  0.07871193
0.12500250  0.07620563
0.11747519  0.07367333
0.11016664  0.07111979
0.10307875  0.06854971
0.09621341  0.06596771
0.08957241  0.06337833
0.08315749  0.06078597
0.07697036  0.05819484
0.07101262  0.05560898
0.06528587  0.05303218
0.05979159  0.05046798
0.05453124  0.04791963
0.04950620  0.04539005
0.04471781  0.04288186
0.04016731  0.04039728
0.03585593  0.03793818
0.03178478  0.03550606
0.02795496  0.03310200
0.02436746  0.03072670
0.02102323  0.02838047
0.01792317  0.02606317
0.01506808  0.02377434
0.01245873  0.02151312
0.01009580  0.01927826
0.00797992  0.01706820
0.00611164  0.01488105
0.00449148  0.01271462
0.00311984  0.01056648
0.00199709  0.00843393
0.00112354  0.00631410
0.00049941  0.00420396
0.00012486  0.00210033
0.00000000  0.00000000
0.00012486  -0.00100930
0.00049941  -0.00201732
0.00112354  -0.00302280
0.00199709  -0.00402445
0.00311984  -0.00502099
0.00449148  -0.00601113
0.00611164  -0.00699356
0.00797992  -0.00796697
0.01009580  -0.00893004
0.01245873  -0.00988144
0.01506808  -0.01081983
0.01792317  -0.01174391
0.02102323  -0.01265231
0.02436746  -0.01354373
0.02795496  -0.01441687
0.03178478  -0.01527046
0.03585593  -0.01610324
0.04016731  -0.01691404
0.04471781  -0.01770169
0.04950620  -0.01846512
0.05453124  -0.01920334
0.05979159  -0.01991544
0.06528587  -0.02060061
0.07101262  -0.02125815
0.07697036  -0.02188750
0.08315749  -0.02248823
0.08957241  -0.02306005
0.09621341  -0.02360284
0.10307875  -0.02411662
0.11016664  -0.02460161
0.11747519  -0.02505815
0.12500250  -0.02548680
0.13274660  -0.02588829
0.14070544  -0.02626347
0.14887696  -0.02661342
0.15725898  -0.02693932
0.16584935  -0.02724252
0.17464579  -0.02752447
0.18364601  -0.02778675
0.19284766  -0.02803100
0.20224833  -0.02825894
0.21184558  -0.02847232
0.22163688  -0.02867289
0.23161972  -0.02886236
0.24179145  -0.02904238
0.25214946  -0.02921452
0.26269104  -0.02938014
0.27341344  -0.02954049
0.28431390  -0.02969659
0.29538957  -0.02984914
0.30663759  -0.02999860
0.31805504  -0.03014507
0.32963897  -0.03028823
0.34138636  -0.03042742
0.35329420  -0.03056148
0.36535941  -0.03068882
0.37757886  -0.03080732
0.38994942  -0.03091435
0.40246787  -0.03100681
0.41513104  -0.03108102
0.42793562  -0.03113283
0.44087835  -0.03115757
0.45395590  -0.03115008
0.46716493  -0.03110476
0.48050203  -0.03101566
0.49396379  -0.03087642
0.50754678  -0.03068048
0.52124753  -0.03042102
0.53506253  -0.03009122
0.54898826  -0.02968420
0.56302118  -0.02919329
0.57715772  -0.02861206
0.59139427  -0.02793452
0.60572723  -0.02715530
0.62015295  -0.02626980
0.63466778  -0.02527441
0.64926805  -0.02416669
0.66395006  -0.02294560
0.67871009  -0.02161174
0.69354444  -0.02016759
0.70844934  -0.01861777
0.72342106  -0.01696927
0.73845582  -0.01523174
0.75354984  -0.01341780
0.76869935  -0.01154326
0.78390052  -0.00962742
0.79914955  -0.00769342
0.81444264  -0.00576841
0.82977595  -0.00388395
0.84514565  -0.00207619
0.86054793  -0.00038623
0.87597893  0.00113970
0.89143481  0.00244991
0.90691173  0.00348710
0.92240585  0.00418801
0.93791333  0.00448337
0.95343033  0.00429757
0.96895299  0.00354859
0.98447749  0.00214783
1.00000000  0.00000000
